Parameter	Mean	95%_HPD_Lower	95%_HPD_Upper	ESS
becomeUninfectiousRateSPEpi.i0_endtime	0.291432216764946	0.207016545880863	0.373823730764777	942.340523163859
becomeUninfectiousRateSPEpi.i0	7.35979044966566	2.03395305525591	13.6959201887006	1428.57811261966
becomeUninfectiousRateSPEpi.i1_endtime	0.377432216764946	0.293016545880863	0.459823730764777	942.34052316386
becomeUninfectiousRateSPEpi.i1	8.28529039706591	3.52360903095427	13.9214921710811	1744.70326749198
becomeUninfectiousRateSPEpi.i2	9.79115943869416	3.6781087193584	17.0640930333782	364.395300800484
ReAmongDemesSPEpi._i0_endtime	0.291432216764946	0.207016545880863	0.373823730764777	942.340523163859
ReAmongDemesSPEpi.i0_Ghost_to_P1	0	0	0	NA
ReAmongDemesSPEpi.i0_Ghost_to_P10	0	0	0	NA
ReAmongDemesSPEpi.i0_Ghost_to_P11	0	0	0	NA
ReAmongDemesSPEpi.i0_Ghost_to_P12	0	0	0	NA
ReAmongDemesSPEpi.i0_Ghost_to_P13	0	0	0	NA
ReAmongDemesSPEpi.i0_Ghost_to_P14	0	0	0	NA
ReAmongDemesSPEpi.i0_Ghost_to_P15	0	0	0	NA
ReAmongDemesSPEpi.i0_Ghost_to_P16	0	0	0	NA
ReAmongDemesSPEpi.i0_Ghost_to_P2	0	0	0	NA
ReAmongDemesSPEpi.i0_Ghost_to_P3	0	0	0	NA
ReAmongDemesSPEpi.i0_Ghost_to_P4	0	0	0	NA
ReAmongDemesSPEpi.i0_Ghost_to_P5	0	0	0	NA
ReAmongDemesSPEpi.i0_Ghost_to_P6	0	0	0	NA
ReAmongDemesSPEpi.i0_Ghost_to_P7	0	0	0	NA
ReAmongDemesSPEpi.i0_Ghost_to_P8	0	0	0	NA
ReAmongDemesSPEpi.i0_Ghost_to_P9	0	0	0	NA
ReAmongDemesSPEpi.i0_P1_to_Ghost	0	0	0	NA
ReAmongDemesSPEpi.i0_P1_to_P10	0	0	0	NA
ReAmongDemesSPEpi.i0_P1_to_P11	0	0	0	NA
ReAmongDemesSPEpi.i0_P1_to_P12	0	0	0	NA
ReAmongDemesSPEpi.i0_P1_to_P13	0	0	0	NA
ReAmongDemesSPEpi.i0_P1_to_P14	0	0	0	NA
ReAmongDemesSPEpi.i0_P1_to_P15	0	0	0	NA
ReAmongDemesSPEpi.i0_P1_to_P16	0	0	0	NA
ReAmongDemesSPEpi.i0_P1_to_P2	0	0	0	NA
ReAmongDemesSPEpi.i0_P1_to_P3	0	0	0	NA
ReAmongDemesSPEpi.i0_P1_to_P4	0	0	0	NA
ReAmongDemesSPEpi.i0_P1_to_P5	0	0	0	NA
ReAmongDemesSPEpi.i0_P1_to_P6	0	0	0	NA
ReAmongDemesSPEpi.i0_P1_to_P7	0	0	0	NA
ReAmongDemesSPEpi.i0_P1_to_P8	0	0	0	NA
ReAmongDemesSPEpi.i0_P1_to_P9	0	0	0	NA
ReAmongDemesSPEpi.i0_P10_to_Ghost	0	0	0	NA
ReAmongDemesSPEpi.i0_P10_to_P1	0	0	0	NA
ReAmongDemesSPEpi.i0_P10_to_P11	0	0	0	NA
ReAmongDemesSPEpi.i0_P10_to_P12	0	0	0	NA
ReAmongDemesSPEpi.i0_P10_to_P13	0	0	0	NA
ReAmongDemesSPEpi.i0_P10_to_P14	0	0	0	NA
ReAmongDemesSPEpi.i0_P10_to_P15	0	0	0	NA
ReAmongDemesSPEpi.i0_P10_to_P16	0	0	0	NA
ReAmongDemesSPEpi.i0_P10_to_P2	0	0	0	NA
ReAmongDemesSPEpi.i0_P10_to_P3	0	0	0	NA
ReAmongDemesSPEpi.i0_P10_to_P4	0	0	0	NA
ReAmongDemesSPEpi.i0_P10_to_P5	0	0	0	NA
ReAmongDemesSPEpi.i0_P10_to_P6	0	0	0	NA
ReAmongDemesSPEpi.i0_P10_to_P7	0	0	0	NA
ReAmongDemesSPEpi.i0_P10_to_P8	0	0	0	NA
ReAmongDemesSPEpi.i0_P10_to_P9	0	0	0	NA
ReAmongDemesSPEpi.i0_P11_to_Ghost	0	0	0	NA
ReAmongDemesSPEpi.i0_P11_to_P1	0	0	0	NA
ReAmongDemesSPEpi.i0_P11_to_P10	0	0	0	NA
ReAmongDemesSPEpi.i0_P11_to_P12	0	0	0	NA
ReAmongDemesSPEpi.i0_P11_to_P13	0	0	0	NA
ReAmongDemesSPEpi.i0_P11_to_P14	0	0	0	NA
ReAmongDemesSPEpi.i0_P11_to_P15	0	0	0	NA
ReAmongDemesSPEpi.i0_P11_to_P16	0	0	0	NA
ReAmongDemesSPEpi.i0_P11_to_P2	0	0	0	NA
ReAmongDemesSPEpi.i0_P11_to_P3	0	0	0	NA
ReAmongDemesSPEpi.i0_P11_to_P4	0	0	0	NA
ReAmongDemesSPEpi.i0_P11_to_P5	0	0	0	NA
ReAmongDemesSPEpi.i0_P11_to_P6	0	0	0	NA
ReAmongDemesSPEpi.i0_P11_to_P7	0	0	0	NA
ReAmongDemesSPEpi.i0_P11_to_P8	0	0	0	NA
ReAmongDemesSPEpi.i0_P11_to_P9	0	0	0	NA
ReAmongDemesSPEpi.i0_P12_to_Ghost	0	0	0	NA
ReAmongDemesSPEpi.i0_P12_to_P1	0	0	0	NA
ReAmongDemesSPEpi.i0_P12_to_P10	0	0	0	NA
ReAmongDemesSPEpi.i0_P12_to_P11	0	0	0	NA
ReAmongDemesSPEpi.i0_P12_to_P13	0	0	0	NA
ReAmongDemesSPEpi.i0_P12_to_P14	0	0	0	NA
ReAmongDemesSPEpi.i0_P12_to_P15	0	0	0	NA
ReAmongDemesSPEpi.i0_P12_to_P16	0	0	0	NA
ReAmongDemesSPEpi.i0_P12_to_P2	0	0	0	NA
ReAmongDemesSPEpi.i0_P12_to_P3	0	0	0	NA
ReAmongDemesSPEpi.i0_P12_to_P4	0	0	0	NA
ReAmongDemesSPEpi.i0_P12_to_P5	0	0	0	NA
ReAmongDemesSPEpi.i0_P12_to_P6	0	0	0	NA
ReAmongDemesSPEpi.i0_P12_to_P7	0	0	0	NA
ReAmongDemesSPEpi.i0_P12_to_P8	0	0	0	NA
ReAmongDemesSPEpi.i0_P12_to_P9	0	0	0	NA
ReAmongDemesSPEpi.i0_P13_to_Ghost	0	0	0	NA
ReAmongDemesSPEpi.i0_P13_to_P1	0	0	0	NA
ReAmongDemesSPEpi.i0_P13_to_P10	0	0	0	NA
ReAmongDemesSPEpi.i0_P13_to_P11	0	0	0	NA
ReAmongDemesSPEpi.i0_P13_to_P12	0	0	0	NA
ReAmongDemesSPEpi.i0_P13_to_P14	0	0	0	NA
ReAmongDemesSPEpi.i0_P13_to_P15	0	0	0	NA
ReAmongDemesSPEpi.i0_P13_to_P16	0	0	0	NA
ReAmongDemesSPEpi.i0_P13_to_P2	0	0	0	NA
ReAmongDemesSPEpi.i0_P13_to_P3	0	0	0	NA
ReAmongDemesSPEpi.i0_P13_to_P4	0	0	0	NA
ReAmongDemesSPEpi.i0_P13_to_P5	0	0	0	NA
ReAmongDemesSPEpi.i0_P13_to_P6	0	0	0	NA
ReAmongDemesSPEpi.i0_P13_to_P7	0	0	0	NA
ReAmongDemesSPEpi.i0_P13_to_P8	0	0	0	NA
ReAmongDemesSPEpi.i0_P13_to_P9	0	0	0	NA
