Parameter	Mean	95%_HPD_Lower	95%_HPD_Upper	ESS
posterior	-1231.90787652251	-1254.00854829363	-1208.77936641664	478.212078296278
likelihood	-1153.30067630611	-1163.28358298414	-1143.18113093638	762.608832830982
prior	-78.6072002164046	-99.4503389277136	-58.2284627141971	442.085394663075
treeLikelihood	-1153.30067630611	-1163.28358298414	-1143.18113093638	762.608832830982
Tree.height	0.446716631462585	0.354508317495578	0.535564944783256	541.172257062156
Tree.treeLength	5.08628410343657	3.94939867375205	6.29950853538146	243.706204773957
ucldMean	0.0138126427564834	0.00965541673397172	0.0181184528285236	1088.19812252661
ucldStdev	0.173070053624783	8.23923201225785e-08	0.590055305952901	1245.27849715007
rate.mean	0.0138467814417721	0.00975906730886854	0.0182604401059352	1054.73631621
rate.variance	1.49389112215331e-05	7.86384520280014e-19	7.23564744610656e-05	1544.12006591955
rate.coefficientOfVariation	0.177565939578221	8.07099669286257e-08	0.615851500286787	1215.72498093317
originBDMMPrime	0.474921506933532	0.389674512140519	0.559531713414669	613.267273342446
startTypePosteriorProbsLogger.startTypePosteriorProbs.Ghost	1	1	1	NA
startTypePosteriorProbsLogger.startTypePosteriorProbs.P1	0	0	0	NA
startTypePosteriorProbsLogger.startTypePosteriorProbs.P10	0	0	0	NA
startTypePosteriorProbsLogger.startTypePosteriorProbs.P11	0	0	0	NA
startTypePosteriorProbsLogger.startTypePosteriorProbs.P12	0	0	0	NA
startTypePosteriorProbsLogger.startTypePosteriorProbs.P13	0	0	0	NA
startTypePosteriorProbsLogger.startTypePosteriorProbs.P14	0	0	0	NA
startTypePosteriorProbsLogger.startTypePosteriorProbs.P15	0	0	0	NA
startTypePosteriorProbsLogger.startTypePosteriorProbs.P16	0	0	0	NA
startTypePosteriorProbsLogger.startTypePosteriorProbs.P2	0	0	0	NA
startTypePosteriorProbsLogger.startTypePosteriorProbs.P3	0	0	0	NA
startTypePosteriorProbsLogger.startTypePosteriorProbs.P4	0	0	0	NA
startTypePosteriorProbsLogger.startTypePosteriorProbs.P5	0	0	0	NA
startTypePosteriorProbsLogger.startTypePosteriorProbs.P6	0	0	0	NA
startTypePosteriorProbsLogger.startTypePosteriorProbs.P7	0	0	0	NA
startTypePosteriorProbsLogger.startTypePosteriorProbs.P8	0	0	0	NA
startTypePosteriorProbsLogger.startTypePosteriorProbs.P9	0	0	0	NA
ReSPEpi.i0_endtime	0.294921506933532	0.209674512140519	0.379531713414669	613.267273342446
ReSPEpi.i0_Ghost	5.42103547583353	2.21358808617643	10.3148463341684	841.818965415108
ReSPEpi.i0_P1	0	0	0	NA
ReSPEpi.i0_P10	0	0	0	NA
ReSPEpi.i0_P11	0	0	0	NA
ReSPEpi.i0_P12	0	0	0	NA
ReSPEpi.i0_P13	0	0	0	NA
ReSPEpi.i0_P14	0	0	0	NA
ReSPEpi.i0_P15	0	0	0	NA
ReSPEpi.i0_P16	0	0	0	NA
ReSPEpi.i0_P2	0	0	0	NA
ReSPEpi.i0_P3	0	0	0	NA
ReSPEpi.i0_P4	0	0	0	NA
ReSPEpi.i0_P5	0	0	0	NA
ReSPEpi.i0_P6	0	0	0	NA
ReSPEpi.i0_P7	0	0	0	NA
ReSPEpi.i0_P8	0	0	0	NA
ReSPEpi.i0_P9	0	0	0	NA
ReSPEpi.i1_endtime	0.380921506933532	0.295674512140519	0.465531713414669	613.267273342447
ReSPEpi.i1_Ghost	0	0	0	NA
ReSPEpi.i1_P1	1.24927583419854	0.170338668582637	2.49490755791967	386.193676492759
ReSPEpi.i1_P10	1.24927583419854	0.170338668582637	2.49490755791967	386.193676492759
ReSPEpi.i1_P11	1.24927583419854	0.170338668582637	2.49490755791967	386.193676492759
ReSPEpi.i1_P12	1.24927583419854	0.170338668582637	2.49490755791967	386.193676492759
ReSPEpi.i1_P13	1.24927583419854	0.170338668582637	2.49490755791967	386.193676492759
ReSPEpi.i1_P14	1.24927583419854	0.170338668582637	2.49490755791967	386.193676492759
ReSPEpi.i1_P15	1.24927583419854	0.170338668582637	2.49490755791967	386.193676492759
ReSPEpi.i1_P16	1.24927583419854	0.170338668582637	2.49490755791967	386.193676492759
ReSPEpi.i1_P2	1.24927583419854	0.170338668582637	2.49490755791967	386.193676492759
ReSPEpi.i1_P3	1.24927583419854	0.170338668582637	2.49490755791967	386.193676492759
ReSPEpi.i1_P4	1.24927583419854	0.170338668582637	2.49490755791967	386.193676492759
ReSPEpi.i1_P5	1.24927583419854	0.170338668582637	2.49490755791967	386.193676492759
ReSPEpi.i1_P6	1.24927583419854	0.170338668582637	2.49490755791967	386.193676492759
ReSPEpi.i1_P7	1.24927583419854	0.170338668582637	2.49490755791967	386.193676492759
ReSPEpi.i1_P8	1.24927583419854	0.170338668582637	2.49490755791967	386.193676492759
ReSPEpi.i1_P9	1.24927583419854	0.170338668582637	2.49490755791967	386.193676492759
ReSPEpi.i2_Ghost	0	0	0	NA
ReSPEpi.i2_P1	2.84988484751912	0.594943090949358	5.6018766112807	385.820530011393
ReSPEpi.i2_P10	2.84988484751912	0.594943090949358	5.6018766112807	385.820530011393
ReSPEpi.i2_P11	2.84988484751912	0.594943090949358	5.6018766112807	385.820530011393
ReSPEpi.i2_P12	2.84988484751912	0.594943090949358	5.6018766112807	385.820530011393
ReSPEpi.i2_P13	2.84988484751912	0.594943090949358	5.6018766112807	385.820530011393
ReSPEpi.i2_P14	2.84988484751912	0.594943090949358	5.6018766112807	385.820530011393
ReSPEpi.i2_P15	2.84988484751912	0.594943090949358	5.6018766112807	385.820530011393
ReSPEpi.i2_P16	2.84988484751912	0.594943090949358	5.6018766112807	385.820530011393
ReSPEpi.i2_P2	2.84988484751912	0.594943090949358	5.6018766112807	385.820530011393
ReSPEpi.i2_P3	2.84988484751912	0.594943090949358	5.6018766112807	385.820530011393
ReSPEpi.i2_P4	2.84988484751912	0.594943090949358	5.6018766112807	385.820530011393
ReSPEpi.i2_P5	2.84988484751912	0.594943090949358	5.6018766112807	385.820530011393
ReSPEpi.i2_P6	2.84988484751912	0.594943090949358	5.6018766112807	385.820530011393
ReSPEpi.i2_P7	2.84988484751912	0.594943090949358	5.6018766112807	385.820530011393
ReSPEpi.i2_P8	2.84988484751912	0.594943090949358	5.6018766112807	385.820530011393
ReSPEpi.i2_P9	2.84988484751912	0.594943090949358	5.6018766112807	385.820530011393
