Parameter	Mean	95%_HPD_Lower	95%_HPD_Upper	ESS
ReSPEpi.i0_P11	0	0	0	NA
ReSPEpi.i0_P12	0	0	0	NA
ReSPEpi.i0_P13	0	0	0	NA
ReSPEpi.i0_P14	0	0	0	NA
ReSPEpi.i0_P15	0	0	0	NA
ReSPEpi.i0_P16	0	0	0	NA
ReSPEpi.i0_P2	0	0	0	NA
ReSPEpi.i0_P3	0	0	0	NA
ReSPEpi.i0_P4	0	0	0	NA
ReSPEpi.i0_P5	0	0	0	NA
ReSPEpi.i0_P6	0	0	0	NA
ReSPEpi.i0_P7	0	0	0	NA
ReSPEpi.i0_P8	0	0	0	NA
ReSPEpi.i0_P9	0	0	0	NA
ReSPEpi.i1_endtime	0.380480053693963	0.296283145250917	0.467096738720542	1113.63950344139
ReSPEpi.i1_Ghost	0	0	0	NA
ReSPEpi.i1_P1	1.1966073146085	0.203697369171813	2.41454195237622	1001.71634286339
ReSPEpi.i1_P10	1.1966073146085	0.203697369171813	2.41454195237622	1001.71634286339
ReSPEpi.i1_P11	1.1966073146085	0.203697369171813	2.41454195237622	1001.71634286339
ReSPEpi.i1_P12	1.1966073146085	0.203697369171813	2.41454195237622	1001.71634286339
ReSPEpi.i1_P13	1.1966073146085	0.203697369171813	2.41454195237622	1001.71634286339
ReSPEpi.i1_P14	1.1966073146085	0.203697369171813	2.41454195237622	1001.71634286339
ReSPEpi.i1_P15	1.1966073146085	0.203697369171813	2.41454195237622	1001.71634286339
ReSPEpi.i1_P16	1.1966073146085	0.203697369171813	2.41454195237622	1001.71634286339
ReSPEpi.i1_P2	1.1966073146085	0.203697369171813	2.41454195237622	1001.71634286339
ReSPEpi.i1_P3	1.1966073146085	0.203697369171813	2.41454195237622	1001.71634286339
ReSPEpi.i1_P4	1.1966073146085	0.203697369171813	2.41454195237622	1001.71634286339
ReSPEpi.i1_P5	1.1966073146085	0.203697369171813	2.41454195237622	1001.71634286339
