Parameter	Mean	95%_HPD_Lower	95%_HPD_Upper	ESS
becomeUninfectiousRateSPEpi.i0_endtime	0.295827181436274	0.214829342418458	0.387879947722338	251.739400578812
becomeUninfectiousRateSPEpi.i0	6.91335651495203	2.38483155537677	12.8152514143275	747.707766855056
becomeUninfectiousRateSPEpi.i1_endtime	0.381827181436274	0.300829342418458	0.473879947722338	251.739400578812
becomeUninfectiousRateSPEpi.i1	8.17797609288235	3.69564078468499	13.6365703898967	1212.33912937828
becomeUninfectiousRateSPEpi.i2	8.6606862672116	3.49170582081478	14.5668379048709	250.107916743358
ReAmongDemesSPEpi._i0_endtime	0.295827181436274	0.214829342418458	0.387879947722338	251.739400578812
ReAmongDemesSPEpi.i0_Ghost_to_P1	0	0	0	NA
ReAmongDemesSPEpi.i0_Ghost_to_P10	0	0	0	NA
ReAmongDemesSPEpi.i0_Ghost_to_P11	0	0	0	NA
ReAmongDemesSPEpi.i0_Ghost_to_P12	0	0	0	NA
ReAmongDemesSPEpi.i0_Ghost_to_P13	0	0	0	NA
ReAmongDemesSPEpi.i0_Ghost_to_P14	0	0	0	NA
ReAmongDemesSPEpi.i0_Ghost_to_P15	0	0	0	NA
ReAmongDemesSPEpi.i0_Ghost_to_P16	0	0	0	NA
ReAmongDemesSPEpi.i0_Ghost_to_P2	0	0	0	NA
ReAmongDemesSPEpi.i0_Ghost_to_P3	0	0	0	NA
ReAmongDemesSPEpi.i0_Ghost_to_P4	0	0	0	NA
ReAmongDemesSPEpi.i0_Ghost_to_P5	0	0	0	NA
ReAmongDemesSPEpi.i0_Ghost_to_P6	0	0	0	NA
ReAmongDemesSPEpi.i0_Ghost_to_P7	0	0	0	NA
ReAmongDemesSPEpi.i0_Ghost_to_P8	0	0	0	NA
ReAmongDemesSPEpi.i0_Ghost_to_P9	0	0	0	NA
ReAmongDemesSPEpi.i0_P1_to_Ghost	0	0	0	NA
ReAmongDemesSPEpi.i0_P1_to_P10	0	0	0	NA
ReAmongDemesSPEpi.i0_P1_to_P11	0	0	0	NA
ReAmongDemesSPEpi.i0_P1_to_P12	0	0	0	NA
ReAmongDemesSPEpi.i0_P1_to_P13	0	0	0	NA
ReAmongDemesSPEpi.i0_P1_to_P14	0	0	0	NA
ReAmongDemesSPEpi.i0_P1_to_P15	0	0	0	NA
ReAmongDemesSPEpi.i0_P1_to_P16	0	0	0	NA
ReAmongDemesSPEpi.i0_P1_to_P2	0	0	0	NA
ReAmongDemesSPEpi.i0_P1_to_P3	0	0	0	NA
ReAmongDemesSPEpi.i0_P1_to_P4	0	0	0	NA
ReAmongDemesSPEpi.i0_P1_to_P5	0	0	0	NA
ReAmongDemesSPEpi.i0_P1_to_P6	0	0	0	NA
ReAmongDemesSPEpi.i0_P1_to_P7	0	0	0	NA
ReAmongDemesSPEpi.i0_P1_to_P8	0	0	0	NA
ReAmongDemesSPEpi.i0_P1_to_P9	0	0	0	NA
ReAmongDemesSPEpi.i0_P10_to_Ghost	0	0	0	NA
ReAmongDemesSPEpi.i0_P10_to_P1	0	0	0	NA
ReAmongDemesSPEpi.i0_P10_to_P11	0	0	0	NA
ReAmongDemesSPEpi.i0_P10_to_P12	0	0	0	NA
ReAmongDemesSPEpi.i0_P10_to_P13	0	0	0	NA
ReAmongDemesSPEpi.i0_P10_to_P14	0	0	0	NA
ReAmongDemesSPEpi.i0_P10_to_P15	0	0	0	NA
ReAmongDemesSPEpi.i0_P10_to_P16	0	0	0	NA
ReAmongDemesSPEpi.i0_P10_to_P2	0	0	0	NA
ReAmongDemesSPEpi.i0_P10_to_P3	0	0	0	NA
ReAmongDemesSPEpi.i0_P10_to_P4	0	0	0	NA
ReAmongDemesSPEpi.i0_P10_to_P5	0	0	0	NA
ReAmongDemesSPEpi.i0_P10_to_P6	0	0	0	NA
ReAmongDemesSPEpi.i0_P10_to_P7	0	0	0	NA
ReAmongDemesSPEpi.i0_P10_to_P8	0	0	0	NA
ReAmongDemesSPEpi.i0_P10_to_P9	0	0	0	NA
ReAmongDemesSPEpi.i0_P11_to_Ghost	0	0	0	NA
ReAmongDemesSPEpi.i0_P11_to_P1	0	0	0	NA
ReAmongDemesSPEpi.i0_P11_to_P10	0	0	0	NA
ReAmongDemesSPEpi.i0_P11_to_P12	0	0	0	NA
ReAmongDemesSPEpi.i0_P11_to_P13	0	0	0	NA
ReAmongDemesSPEpi.i0_P11_to_P14	0	0	0	NA
ReAmongDemesSPEpi.i0_P11_to_P15	0	0	0	NA
ReAmongDemesSPEpi.i0_P11_to_P16	0	0	0	NA
ReAmongDemesSPEpi.i0_P11_to_P2	0	0	0	NA
ReAmongDemesSPEpi.i0_P11_to_P3	0	0	0	NA
ReAmongDemesSPEpi.i0_P11_to_P4	0	0	0	NA
ReAmongDemesSPEpi.i0_P11_to_P5	0	0	0	NA
ReAmongDemesSPEpi.i0_P11_to_P6	0	0	0	NA
ReAmongDemesSPEpi.i0_P11_to_P7	0	0	0	NA
ReAmongDemesSPEpi.i0_P11_to_P8	0	0	0	NA
ReAmongDemesSPEpi.i0_P11_to_P9	0	0	0	NA
ReAmongDemesSPEpi.i0_P12_to_Ghost	0	0	0	NA
ReAmongDemesSPEpi.i0_P12_to_P1	0	0	0	NA
ReAmongDemesSPEpi.i0_P12_to_P10	0	0	0	NA
ReAmongDemesSPEpi.i0_P12_to_P11	0	0	0	NA
ReAmongDemesSPEpi.i0_P12_to_P13	0	0	0	NA
ReAmongDemesSPEpi.i0_P12_to_P14	0	0	0	NA
ReAmongDemesSPEpi.i0_P12_to_P15	0	0	0	NA
ReAmongDemesSPEpi.i0_P12_to_P16	0	0	0	NA
ReAmongDemesSPEpi.i0_P12_to_P2	0	0	0	NA
ReAmongDemesSPEpi.i0_P12_to_P3	0	0	0	NA
ReAmongDemesSPEpi.i0_P12_to_P4	0	0	0	NA
ReAmongDemesSPEpi.i0_P12_to_P5	0	0	0	NA
ReAmongDemesSPEpi.i0_P12_to_P6	0	0	0	NA
ReAmongDemesSPEpi.i0_P12_to_P7	0	0	0	NA
